stateTime,32 GiB,64 GiB,Total
"2022-08-11","8.82","4.94","13.76"
"2022-08-12","8.39","4.91","13.30"
"2022-08-13","8.93","4.38","13.31"
"2022-08-14","8.24","3.88","12.12"
"2022-08-15","8.07","4.08","12.15"
"2022-08-16","8.51","3.77","12.28"
"2022-08-17","8.83","3.86","12.69"
"2022-08-18","8.33","4.22","12.55"
"2022-08-19","8.25","4.02","12.27"
"2022-08-20","8.83","4.30","13.13"
"2022-08-21","8.25","4.09","12.34"
"2022-08-22","7.99","4.43","12.42"
"2022-08-23","8.27","4.25","12.52"
"2022-08-24","8.42","3.95","12.37"
"2022-08-25","9.49","3.48","12.97"
"2022-08-26","10.09","3.81","13.90"
"2022-08-27","9.27","4.24","13.51"
"2022-08-28","8.73","4.42","13.15"
"2022-08-29","7.96","6.10","14.06"
"2022-08-30","8.33","5.34","13.67"
"2022-08-31","8.52","5.61","14.13"
"2022-09-01","8.88","5.34","14.22"
"2022-09-02","8.37","5.49","13.86"
"2022-09-03","8.11","5.15","13.26"
"2022-09-04","8.27","5.28","13.55"
"2022-09-05","7.70","4.76","12.46"
"2022-09-06","7.88","4.93","12.81"
"2022-09-07","7.74","4.27","12.01"
"2022-09-08","7.37","4.44","11.81"
"2022-09-09","7.43","4.89","12.32"
"2022-09-10","7.09","4.86","11.95"
"2022-09-11","6.95","4.82","11.77"
"2022-09-12","7.39","4.60","11.99"
"2022-09-13","7.98","4.58","12.56"
"2022-09-14","7.63","5.16","12.79"
"2022-09-15","7.99","5.25","13.24"
"2022-09-16","8.81","5.03","13.84"
"2022-09-17","8.90","4.81","13.71"
"2022-09-18","8.75","4.57","13.32"
"2022-09-19","8.75","4.49","13.24"
"2022-09-20","8.72","4.38","13.10"
"2022-09-21","8.42","3.96","12.38"
"2022-09-22","7.76","4.71","12.47"
"2022-09-23","7.42","4.66","12.08"
"2022-09-24","7.55","5.17","12.72"
"2022-09-25","7.34","5.03","12.37"
"2022-09-26","7.51","4.69","12.20"
"2022-09-27","7.44","4.54","11.98"
"2022-09-28","7.20","4.58","11.78"
"2022-09-29","7.73","4.51","12.24"
"2022-09-30","8.00","4.45","12.45"
"2022-10-01","8.29","4.32","12.61"
"2022-10-02","7.94","3.67","11.61"
"2022-10-03","7.04","3.44","10.48"
"2022-10-04","7.77","3.57","11.34"
"2022-10-05","7.97","3.30","11.27"
"2022-10-06","7.78","3.53","11.31"
"2022-10-07","7.62","3.74","11.36"
"2022-10-08","7.52","3.98","11.50"
"2022-10-09","7.25","4.27","11.52"
"2022-10-10","7.91","3.56","11.47"
"2022-10-11","7.46","4.08","11.54"
"2022-10-12","6.79","4.52","11.31"
"2022-10-13","7.52","4.67","12.19"
"2022-10-14","6.96","4.66","11.62"
"2022-10-15","7.12","5.05","12.17"
"2022-10-16","6.84","4.64","11.48"
"2022-10-17","6.49","4.88","11.37"
"2022-10-18","6.42","4.65","11.07"
"2022-10-19","6.22","4.44","10.66"
"2022-10-20","6.39","4.36","10.75"
"2022-10-21","6.65","4.40","11.05"
"2022-10-22","7.10","4.23","11.33"
"2022-10-23","6.92","4.27","11.19"
"2022-10-24","6.85","4.06","10.91"
"2022-10-25","6.74","4.25","10.99"
"2022-10-26","6.75","3.99","10.74"
"2022-10-27","6.76","4.15","10.91"
"2022-10-28","6.14","4.07","10.21"
"2022-10-29","5.99","3.89","9.88"
"2022-10-30","5.86","3.65","9.51"
"2022-10-31","6.07","3.18","9.25"
"2022-11-01","6.40","3.34","9.74"
"2022-11-02","6.39","3.31","9.70"
"2022-11-03","6.39","3.12","9.51"
"2022-11-04","6.78","3.10","9.88"
"2022-11-05","7.13","3.06","10.19"
"2022-11-06","6.79","3.12","9.91"
"2022-11-07","7.06","2.89","9.95"
